art,t,bpm,g,ln,s
mafumafu & amatsuki,Kasyokusei:Idol Syoukougun,200,4,3,76366
Sakura Chiyo (CV:Ozawa Ari),URAOMOTE FORTUNE,132,3,3,210706
chano & 40mP,Natsukoi Hanabi,158,4,3,650427
Kawada Mami,Akai Namida,86,3,3,11147
Camellia,FM Synthesis Experiment,150,10,5,914341
P*Light,TRIGGER*HAPPY,185,2,5,114156
MAX COVERI,RUNNING IN THE 90'S,158.5,3,2,739262
YOASOBI,Yoru ni Kakeru,130,5,3,1218852
TwoThirds & Feint feat. Veela,Starscapes (Rameses B Remix),175,10,2,370603
Krewella,Live for the Night (Nightstep Mix),150.93,10,2,271159
Se-U-Ra,E-Lectixilent (E-xtended Mix),193,10,5,1301800
FujuniseikouyuuP,FREEDMAN,240,4,3,108529
binaria,Kamiiro Awase,150,3,3,506771
Nanahoshi Kangengakudan feat. Hatsune Miku,No.39,282,4,3,531488
Aiobahn & Yunomi,Ginga Tetsudou no Penguin ft. nicamoq (Stripe.P Remix),110,10,3,442510
Presti,Rainbow after Rain,118,6,5,514826
ZAQ,Sparkling Daydream,175,3,3,121906
Memme,Extreme Fantasy,152,2,5,49459
Memme,China Dress,175,2,5,137665
binaria,Kamiiro Awase (TV Size),150,3,3,1474157
DragonForce,Seasons,193,11,2,698914
Andromedik,Invasion,174,10,5,789544
*Namirin,Yasashisa no Riyuu,177,3,3,405570
Asakura Momo,Ashita wa Kimi to.,180,5,3,748013
Kamishiro Ami,Cherry My Heart,152,2,3,11227
nayuta,Stray Star,145,2,3,675074
kors k,smooooch,177,2,2,10675
3l3d3p,Ibitbt,169.93,10,2,1287682
Roselia,Six Trillion Years and Overnight Story,85,2,3,790060
HO-KAGO TEA TIME,Pure Pure Heart (TV Size),154,3,3,16577
Ito Kashitaro,Parabola ~Galileo's Dream~,142,5,3,530704
Qrispy Joybox feat.mao,Colorful Minutes,152,2,3,152703
Yonezu Kenshi,LOSER,121,5,3,852544
Plasmagica,Seishun wa Non-Stop! (TVedit),172,3,3,306595
Camellia,flower of wilderness,220,10,5,1131426
Yooh,Shanghai Kouchakan (Orchid Remix 2017 Update ver.),188,2,5,672440
aki,Starting Days!!,192,2,3,705394
bibuko,Reizouko Mitara Pudding ga Nai,190,4,3,90068
ShinRa-Bansho,Sanyousei SAY YA!!!,150,5,3,1356104
Koda Kumi,Guess Who Is Back (TV Size),183,3,3,906786
CIDER GIRL,Cinderella (TV Size),130,3,3,1591808
"Niwasaka Rira (CV: Yumezuki Yami), Nishinomiya Richer (CV: Hanazawa Sakura)",Motto Amai Koigokoro,150,2,3,1239258
Hatsune Miku,Unhappy Refrain,205,4,3,30128
Tommy heavenly6,Unlimited Sky,190,3,3,1028258
Umeboshi Chazuke,Owari to Hajimari no Oto,201,2,5,790045
yuikonnu,Otsukimi Recital,195,5,3,107763
Izumi Akazawa (CV. Madoka Yonezawa),Responsibility Response,202,3,3,495332
Frums,Star of the COME ON!!,250,10,5,1305627
lapix,Kill The Beat,120,2,5,861400
AKINO with bless4,Yuki no Youni,184,5,3,531713
Remo Prototype[CV: Hanamori Yumiri],Sendan Life,227,3,3,416153
Rex,Heart of Witch,170,2,5,20309
fripSide,Assemble*LOVEsemble,155,2,3,24627
RSP,The First Star,178,5,3,46342
Demetori,Emotional Skyscraper ~ World's End,178,2,5,13223
Hatsuki Yura,Intense Desire,152,2,3,54885
LIP x LIP,Chiisana Lion feat. Minami (CV: Toyonaga Toshiyuki),188,5,3,905572
Hanatan,Senbonzakura,154,4,3,248173
narco & capo,Fragments (Short Ver.),160,2,3,13086
ITO KASHITARO,Hyakka Ryouran,140,5,3,617188
Ado,Odo,128,5,3,1450065
LAST ALLIANCE,HEKIREKI TV SIZE,258,3,3,591331
Endorfin.,M:routine,144,5,3,1069336
Takeya Yuki(CV.Minase Inori),Sora ni Watashi no Sunshine,200,3,3,476646
Gekidan Hitotose,a e i u e o ao!!,145,3,3,620436
Tsunamaru,paranoia,150,5,3,77999
HitoshizukuP x Yama,Crazy nighT,204,14,3,109401
Horie Yui,I my me,128,3,3,42095
azusa,Check my soul (TV Size),153,3,3,43190
Ceui,"Ima, Arukidasu Kimi e.",87,2,3,422600
Se-U-Ra,LOSHAXI,210,10,5,1057963
BanYa,Winter,168,2,5,11331
Ryosuke Nakanishi,Motteke! Sailor Fuku Bak Bak Bakoon! Mix,150,3,3,7778
Akiyama Uni,The Grimoire of Alice,142,2,5,123839
Cranky,Hanaarashi,170,10,5,751771
Nordic Stars,Crying In The Rain (Nightcore Mix),161,10,2,41644
senya,Nureta Kami ni Furerareta Toki,155,2,3,92507
S-C-U feat. Qrispy Joybox,anemone,200,2,5,295753
Megurine Luka,LukaLuka Night Fever,160,10,3,11322
Maroon 5,Moves Like Jagger ft. Christina Aguilera,127.98,5,2,156371
Hoshizora Rin (CV.Iida Riho) & Nishikino Maki (CV.Pile),Beat in Angel,150,3,3,238297
KASHIWA Daisuke,Aqua Regia,176,10,5,1378372
-45,Midorigo Queen Bee,153,2,5,812792
Camellia,Exit This Earth's Atomosphere,170,10,5,517474
THREE LIGHTS DOWN KINGS,Glorious Days(TV size),192,3,3,458584
fripSide,black bullet,155,5,3,1586228
Foreground Eclipse,Vermillion Halo,173,4,3,1504033
EX INDUSTRY,Memory,112,2,5,486597
Humanoid,MENDES,168,2,5,21928
Yorushika,Tada Kimi ni Hare,140,4,3,847238
Nightwish,I Want My Tears Back,140.01,4,2,234748
void,Sun Goes Down (BMS edit),173,10,2,1114900
kors k,smooooch,177,2,5,119359
KOTOKO,Koi Kou Enishi,144,2,3,504995
Touyama Nao,Happy Crescent,162,3,3,26966
Fujijo Seitokai Shikkou-bu,Best FriendS,163,3,3,249939
40mP,Shounen to Mahou no Robot,142,5,3,156907
Kadowaki Mai & Nakai Erika,Sweet Duet,155,3,3,19690
Nakamura Meiko,reverb,158,5,3,217249
ayaponzu*,Haikei Doppelganger,181,4,3,1014945
Natsume Chiaki,Hanairo Biyori,182,6,3,143397
Afilia Saga,Neptune*Sagashite,145,3,3,501481
Suzaku,"Anisakis -somatic mutation type ""Forza""-",185,2,5,107781
"Cocoa, Chino, Rize, Chiya, Syaro, Maya, Megu",Honjitsu wa Makoto ni Rarirurein,183,3,3,465206
Rohi,Kakuzetsu Thanatos,200,10,3,76396
Baracuda feat. Groove Coverage,La Di Da (Nightcore Mix),168,10,2,44180
LiSA,EGOiSTiC SHOOTER,202,4,3,253313
Suzuki Konomi,Redo,190,3,3,456524
Megpoid GUMI,Poker Face,184,4,3,24782
toby fox & RichaadEB,Megalovania Dual Mix,240,2,5,763337
Ishida Yoko,COLORFUL BOX (TV Size),161,3,3,874390
alan,Over the clouds,130,2,3,16472
Miranda!,Don,120,5,10,1225299
Matsumoto Sara,Suika,90,2,3,485022
ClariS,SHIORI,176,3,3,747684
Hakubi,Doko ni mo Ikenai Bokutachi wa,180,5,3,997970
BAND-MAID,CROSS,190,4,3,1221201
Yuna (CV: Kanda Sayaka),Break Beat Bark!,188,3,3,878387
BLACKPINK,AS IF IT'S YOUR LAST,125,5,6,630325
KANA-BOON,Nai Mono Nedari,175,5,3,795000
Manami Numakura,Climber's High!,179,3,3,574214
SPYAIR,Sakura Mitsutsuki,179,3,3,686601
Phonetic,Journey,172,10,5,795432
Kawada Mami,u/n (Short Ver.),184,3,3,49356
Eve,We're Still Underground,148,4,3,1059169
PSYQUI,Hype feat. Such,172,10,3,1229330
Ichigaya Arisa (CV: Itou Ayasa),Su-Suki Nanka Janai!,166,2,3,1129183
ChouCho,Ashita no Kimi sae Ireba Ii. (TV Size),178,3,3,1145173
Akira Complex,Ether Strike ('Divine Mercy' Extended),158,10,5,1252656
TOMINAGA TOMMY HIROAKI,JoJo ~Sono Chi no Sadame~ Archetype MIX Ver.,146,3,3,714329
Himeringo,Ringo Uri no Utakata Shoujo,225.2,5,3,752073
Yonekura Chihiro,DEAR MY WAKER,140,4,3,1257060
Foreground Eclipse,When Innocence Is Just A Mask,178,4,3,242316
Blend A,Bon Appetit S (TV Size ver),152,3,3,678593
TrySail,High Free Spirits,186,3,3,455011
vivid undress,HOT,144,5,3,1440156
"Tokai Teio (CV: Machico), Mejiro McQueen (CV: Onishi Saori)",Komorebi no Yell (TV Size),132,3,3,1465254
u's,Sore wa Bokutachi no Kiseki (TV Size),180,3,3,163608
ICHIKO,I'LL BE THERE FOR YOU (TV Size),170,3,3,42890
Shiro (CV: Ai Kayano),Oracion,166,3,3,705955
Satoshi (CV:Rica Matsumoto),XY&Z,254,3,3,409649
senya,Kataomoi no Bigaku,150,2,3,363504
xi,F,173,10,5,459899
kamome sano,eclair au chocolat (extended bittersweet mix),182,2,5,505048
C-SHOW,Workaholic,220,10,2,77441
Chroma,lost memory,96,10,3,961321
MIMI feat. Hatsune Miku,Ai no Sukima (Rock Cover),204,4,3,1092468
DJ Okawari,Flower Dance (Short Ver.),200,6,5,34469
Kicco,Akari no Arika,226,2,3,928058
cYsmix,Peer Gynt,140,10,5,805762
Hanatan,Orange,90,5,3,477519
40mP feat.yuikonnu,Ame to Asphalt,190,4,3,159527
EGOIST,The Everlasting Guilty Crown (TV Size),172,3,3,622109
Asakura Momo,Hana ni Akai Ito,170,3,3,979061
Feint,Reprise,175,10,5,324058
Otokaze,KaeriMichi,102,6,5,209841
SUNMI,Gashina,94,5,6,726236
Kyary Pamyu Pamyu,Furisodation,200,5,3,1049418
Fit For A King,Louder Voice,143,11,2,1265783
REDALiCE,taboo tears you up,180,2,3,7224
Sana,Terekakushi Shishunki,170,5,3,125877
Bond,Wintersun (Bobby D'Ambrosio Mix),144,6,5,95635
YUZU,Hyori Ittai,150,3,3,188056
XeoN,Xeus,148,2,5,529212
"Yuni (CV: Kohara Konomi), Chieru (CV: Sakura Ayane), Chloe (CV: Tanezaki Atsumi)",Nakayoshi Sensation,154,5,3,1233855
t+pazolite,You are the Miserable (Uncut Edition),163,2,5,1021536
Kucchy vs Akky,Yakumo ~ JOINT STRUGGLE,187,2,5,12909
Nekomata Master,Sennen no Kotowari,152.94,2,5,703960
Annabel,Signal Graph Short ver,167,3,3,556998
Falcom Sound Team jdk,GENS D'ARMES,264,2,5,1078344
Light,Anoneanoneanoneanoneanoneanoneanoneanone Kouji ga Okureteruno,126,7,3,822716
Kevin Manthei,"""Invader Zim"" Theme Song",120.1,6,5,530071
Apink,Boo,135,5,6,384978
sasakure.UK,Hisekai Harmonize feat. Kagamine Rin,220,10,3,934960
Imperial Circus Dead Decadence,"Fusyoku ressentiment, fushiyoku no sarugakuza.",210,11,3,761881
Three feat. Kagamine Len,Telecaster B-boy,182,5,3,972025
KikuoHana,Nobore! Susume! Takai Tou,110,6,3,1022990
HyuN,Tokyo's Starlight,156,10,5,1011055
Children of Bodom,You're Better Off Dead,192,11,2,1125258
LamazeP,Triple Baka,180,10,3,1224831
yuikonnu x sana,Fuzzy Future,145,4,3,545956
Ata,Euphoria,190,10,5,890438
Rise Against,Savior,181,4,2,509675
BABYMETAL,Tales of The Destinies,200,11,3,534115
Foreground Eclipse,"Truths, Ironies, The Secret Lyrics",200,11,2,944514
Minase Inori,brave climber,190,5,3,1091022
Epica,Fools of Damnation,150,4,2,69369
Imperial Circus Dead Decadence,"Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo.",220,11,3,461744
Pegboard Nerds,Hero feat. Elizaveta (Da Tweekaz 'Guitar Hero' Mix),150,10,2,1178515
Yun*chi,Your song*,130,3,3,352479
Mizuki Nana,TESTAMENT -Aufwachen Form-,190,11,3,1241779
love solfege,La Fatalite,160,11,3,1398874
Miyazawa Yuana,Dreht sich!,148,2,3,51705
100 gecs,hand crushed by a mallet,169,10,2,1253992
yuikonnu,Heart no Atoaji,186,4,3,547504
blink-182,All The Small Things,147,4,2,27996
Kitamura Eri,Dependency,222,4,3,1053406
solfa feat. Shimotsuki Haruka,leap in your mind,105,2,3,818672
Team.Nekokan[Neko] featuring.Amaoto Junka,tsunagukizuna,135,3,3,180701
Toto,Holy War,150,4,2,320355
Camellia,d:for the DELTA,174,10,5,709946
Afilia Saga,Embrace Blade,135,3,3,370552
kors k,Insane Techniques (Extended),146,2,5,456691
Hatsune Miku,MONOKURO Blue Sky,130,10,3,20523
Giga-P,LUVORATORRRRRY!,128,10,3,153206
TRUE,DREAM SOLISTER,167,3,3,967875
Yuki Hayashi,You Say Run,175,3,5,487907
Duca,COLD BUTTERFLY,190,2,3,125380
Amidst,Digital,130,10,5,1320499
BAND-MAID,Different (TV Size),210,4,3,1314565
SPYAIR,Sakura Mitsutsuki (TV Size),179,3,3,933863
Panda Eyes & Teminite,Immortal Flame (feat. Anna Yvette),110,10,2,703957
Yousei Teikoku,Tsuioku no Hahen -Arrange-,98,3,3,10544
Yusadesu,Now Loading!!!!,193,3,3,602242
Groove Coverage,The End (Nightcore Remix),183.29,10,2,24918
Halozy feat. Minase Mashiro,Don't let you down,135,2,3,1089237
Megu Sakuragawa,Opening Ceremony,180,2,3,725852
ShinRa-Bansho,Haikara (Taishou Romantic-hen),133,5,3,922982
Mami Kawada,FIXED STAR,170,3,3,752526
O2i3,Ooi,216,10,5,932214
glass beach,cold weather,155,4,2,1280001
Nogizaka46,Yubi Bouenkyou (TV Size),180,3,3,94670
Lily,Scarlet Rose,320,10,3,41686
Ryu*,Plan 8,212,10,5,1466536
GEM,Umiyuri Kaiteitan,240,2,3,647452
CHiCO with HoneyWorks,Kessen Spirit,188,3,3,1118112
Gain,Bloom,124,5,6,343440
zakuro,Inochi ni Kirawarete Iru.,200,4,3,693727
Minase Inori,Crystallize,144,5,3,1336636
DIRTY OLD MEN,doors,210,4,3,1049374
Justice,D.A.N.C.E.,113,5,2,875221
osu! virgin gang,Quintuplets On My Line (feat. Kariyu),90,9,2,1585183
Icon For Hire,Cynics & Critics,181,4,2,296017
verynezumi,Sound Test in Touhou,120,2,5,8955
REDALiCE,MERLIN,180,2,5,1024220
THE ORAL CIGARETTES,Flower,192,4,3,829569
Aoi Eir,Hoshi ga Furu Yume (TV Size),116,3,3,1053771
THE BINARY mido,Ego mo Id mo Tanjun ni,106.25,4,3,1268824
Rita,Primary,167,3,3,21611
Nhato,LIMBO,128,2,5,98020
TK from Ling tosite sigure,haze,175,5,3,568305
Apol,Hidamari no Uta,136,4,3,931596
ChouCho,Yasashisa no Riyuu,177,3,3,1008974
Yonekura Chihiro,DEAR MY WAKER,140,4,3,1579180
Maksim Mrvica,Croatian Rhapsody,96,12,5,54016
ClariS,HANABI,92,5,3,286423
Barbarian On The Groove feat.Kahina,The Divinity,182,2,3,28808
Poppin'Party,1000-kai Urunda Sora,182,2,3,1106398
XX:me,Beautiful World,127,5,3,1405028
Sagara Kokoro,Hoshizora no Ima,185,2,3,79116
Suzuki Konomi 'n Kiba of Akiba,Watashi ga Motenai no wa Dou Kangaete mo Omaera ga Warui!,200,3,3,109373
Hatsune Miku,Nehanshika,175,4,3,30680
Ichinose Go,Champion Shirona,101,12,5,1156409
"Tsukamoto Shimai (CV: Koshimizu Ami, Noto Mamiko)",Futari wa Wasurechau (TV Size),180,3,3,1064345
Adust Rain,TRAUMATIC SYNDROME -Lenboxx Remix-,148,2,2,1064743
Nijisanji,Virtual to LIVE,156,5,3,1024346
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika,178,3,3,962996
TRUE,Storyteller,192,3,3,1353733
Silent Siren,Koi Yuki,110,5,3,1308821
Machico,fantastic dreamer,185,3,3,402887
Infinite Stratos Cast,SUPER STREAM,180,3,3,27697
Teminite,Step Into The Light (feat. Jonah Hitchens),110,5,2,1089017
ALTIMA,Burst The Gravity (TV Size),148,3,3,79038
Yellow Claw,Good Day feat. DJ Snake & Elliphant,104,10,2,1040120
"Fear, and Loathing in Las Vegas",Swing It!!,189,4,3,204159
Poppin'Party,Koko kara Saki wa Uta ni Naranai (TV Size),190,4,3,1542576
Hatsune Miku,Kusaregedou to Chocolate,260,4,3,25248
Aqours,Yuuki wa doko ni? Kimi no Mune ni!,167,3,3,694300
Who Killed Mickey,Monarchy,128,10,5,514550
Bentham,White,190,3,3,646741
TWICE,CHEER UP (Inst.),173,5,6,696037
ginkiha,Oriens,140,2,5,182271
yuki.,Be Your Light,180,2,5,590152
Hatsune Miku,Dou Iu Koto Nano!?,175,5,3,36198
Hito Ookami,Decisive Battle! Ho-Oh!,180,2,5,24875
Masato Nakamura,Eggman's Theme,133,2,5,71061
Ceui,Hoshi Ori Yume Mirai,174,2,3,1000344
Ikareru Kin no Shishi,G59,170,2,5,25252
Blend A,Bon Appetit S (TV Size ver),152,3,3,697961
Skrillex,Kyoto (feat. Sirah),87.5,10,2,45621
azusa,Check my soul,153,3,3,45664
TWICE,FANCY,132,5,6,960258
96neko,Uso no Hibana,188,3,3,559489
Tomatsu Haruka,courage,196,3,3,226289
fourfolium,Now Loading!!!!,193,3,3,520082
bj.HaLo,Ende,200,10,5,44035
Astronaut,Champions (feat. Harry Brooks Jnr),128,10,2,889441
SHK,Death Moon II,150,2,5,7794
MY FIRST STORY,Itazura Fiction,183,4,3,477343
ITO KASHITARO,Yuudachi no Ribbon,230,4,3,479811
DJ Sharpnel,StrangeProgram,215,10,3,5774
Ito Kashitaro,"Fairytale,",194,4,3,778585
DystopiaGround,True Theory of Inheritance,182,4,3,24477
la la larks,loop,144,4,3,1251472
"Emilia (CV: Takahashi Rie), Rem (CV: Minase Inori), Ram (CV: Murakawa Rie)",Re:lation,135,2,3,999735
xi,ANiMA,183.5,2,5,441271
Yasuda Mizuho,Yoake no Bell ga Naru,177,2,3,1070997
Minato Aqua,Dadadada Tenshi,180,4,3,1079554
Suzuki Konomi,Redo,190,3,3,437055
Porter Robinson & Madeon,Shelter,100,3,2,522857
Camellia,We Magicians Still Alive in 2021,155,10,5,1517582
Mami Kawada,PSI-missing(TV Size),130,3,3,311202
SUPER STAR -MITSURU-,THANK YOU FOR PLAYING,170,2,5,312980
Sakuzyo,Fracture Ray,200,2,5,889405
Studio EIM,Crescent Moon Island Boss Theme,172,2,5,173422
"Ken Nakagawa, Daisuke Achiwa",Go! Go! Novice Alchemist (Workshop),184,2,5,273267
THE ORAL CIGARETTES,Wagamama de Gomakasanaide,142,3,3,932567
BilliumMoto,life flashes before weeb eyes,227,10,5,985172
Co shu Nie,ZETTAI ZETSUMEI (TV Size),143,3,3,982271
Silentroom,Nhelv,174.59,10,5,1369072
"Fear, and Loathing in Las Vegas",Keep the Heat and Fire Yourself Up,155,3,2,766172
Tigran Hamasyan,What the Waves Brought (Cut Ver.),139,14,5,1081010
SuganoMusic,Imademo...,155,2,3,21960
PinocchioP,I'm glad you're evil too,88,5,3,643075
Aoi Eir,IGNITE,171,3,3,209170
Eiko Shimamiya,Naraku no Hana (TV Size),36.29,3,3,11525
Killswitch Engage,In Due Time,170,4,2,941053
Cascada,Ready Or Not (Nightcore Mix),181.25,10,2,30224
Camellia,NUCLEAR-STAR,199,10,5,1454619
-.- --- .-. .- .. ..,Hanshoku-ki (Cut Ver.),160,10,5,1558101
Seiryu,Critical Crystal,191,2,5,199535
Yasuda Rei,Lots of Love,154,5,3,944339
Grant Kirkhope,Donkey Kong vs Army Dillo II,185.06,2,5,8979
wakaG,Yozora ni Saita Hana,180,4,3,810188
CHiCO with HoneyWorks,color,180,5,3,865497
sweet ARMS,Date A Live,178,3,3,729058
Cady Groves,This Little Girl (Speed Up Ver.),176.88,10,2,413625
Ayalis,Ai o Chikaishi Hime Kazari,210,4,3,506155
Station Earth,Cold Green Eyes ft. Roos Denayer,174,10,2,371128
SHISHAMO,Kimi to Gelaende,175,4,3,543243
PSYQUI,Hype feat. Such,172,10,2,988178
The Flashbulb,Every Two Days,199,10,5,905599
Renard,WINDRAMMER STYLE,170,10,5,764123
ClariS,STEP (TV Size),146,3,3,1248040
07th Expansion,discolor,160,2,5,11739
DCX,Flying High (DJ Splash Remix),176.09,10,2,10555
Galileo Galilei,Aoi Shiori,132,3,3,316861
Caramell,Caramelldansen (Speedycake Remix),164.74,10,9,18568
ClariS,Connect,175,3,3,25705
mafumafu,Sacrifice,192,4,3,1001514
Aoi Eir,Satellite,135,4,3,86312
7!!,Orange (Anime Ver.),86,3,3,340430
ZAQ,Caste Room,156,5,3,1340038
Yorushika,Yoru Magai,180,5,3,1163834
seiya-murai feat. ALT,8bit Princess,150,2,3,97932
TWICE,I CAN'T STOP ME,150,5,6,1286496
iconoclasm,Votum stellarum -forest #25 DDR RMX-,140,2,5,23437
Fox Stevenson,Dreamland,168,10,2,1087898
Yonder Voice,Soukyuu no Rapsodia,155,5,3,1439093
Caramell,Caramelldansen (Ryu* Remix) (Nightcore Mix),197.75,7,9,48842
EastNewSound,Sadistic Paranoia,148,2,3,100931
BTS,FAKE LOVE,77.5,5,6,787712
Nanamori-chu * Goraku-bu,My Pace de Ikimashou,190,3,3,36569
AKINO from bless4,MIIRO (LU-I Remix),185,3,3,1007148
Yusuke,V (TV Size),200,3,3,971957
siqlo,Purple Hyacinth feat. Norico,146,5,3,1112559
"storyteller(cosMo x GAiA) feat. IA, Kagamine Rin",Anti the EuphoriaHOLiC,180,6,3,546102
Siren (CV: Liyuu),Polaris,174,5,3,1128780
Tezuka feat. Oonishi Amimi,Bokura no Jikan,214,2,3,985765
yuikonnu,AOI-IRO STEP,190,4,3,274645
l ACE l,Fuck Her Right in the Pu**y (#Selfie & Freaks Remix),128,10,2,328597
Daisuke Achiwa,BASARA,130,2,5,13019
BobGmbH,BEST OF IMPOSSIBLE REMIX,128,6,5,522872
Ryu*,Rondo Alla Turca (Ryu* Remix),142,10,5,1364962
ONE OK ROCK,Clock Strikes,192,4,3,249624
Kagamine Rin,Meltdown (Ryu Remix),177,10,3,26145
Soleily,Violet Soul,158,2,5,318602
daniwellP,Nyanyanyanyanyanyanya!,142,10,14,31419
Suzuki Konomi,DAYS of DASH (TV Size),160,3,3,129127
xi,Sedap Malam,150,6,5,309237
halca,FIRST DROP (TV Size),138,5,3,1242594
ayaponzu*,Six trillion years and overnight story,78,4,3,795001
Taylor Swift,You Need To Calm Down,85,5,2,1365850
Rche,Todestrieb,185,2,5,40923
Larval Stage Planning,Hanabira to Ribbon,134,2,3,180633
Tsubaki,Kyun Kyun Tamaran Inaba tan!,180,2,3,35219
Skrillex,First Of The Year (Equinox),145,10,2,56791
Teminite & MDK,Space Invaders,128,10,5,979887
Kicco,Amazing sky,150,2,3,526167
RIOT,Jungle Fury,145,10,5,1356332
NUAGE,CRAZY LITTLE LOVE,153,10,2,1424488
Melano,On Fire,172,10,5,735319
TAG,Romancing Layer,150,2,5,234247
BaconAkin,Yeah Boy - Shooting Stars,125,7,2,576426
VINXIS,Sidetracked Day,188,10,5,809078
MYTH & ROID,L.L.L.,208,3,3,334466
Poppin'Party,Cherry Bomb,190,2,3,1055249
Ceui,Hana ni Natta Shounen no Shinwa,74.98,13,3,464398
fhana,RHAPSODY OF BLUE SKY,135,3,3,586841
USAO,Get on,190,10,5,554084
Ogura Yui,Honey Come!!,184,3,3,350963
DJ Ashworth,A Meow Mix (Electronic Dance Version),128,10,5,309583
senya,"Though the Scent Lingers, the Flower Scattered",138,2,3,40536
Mitsuki Nakae,Ouka Enbu,148,4,3,688552
Tadokoro Azusa,DEAREST DROP (TV Size),146,4,3,1509775
ALiCE'S EMOTiON,Imagery,142,2,3,43009
Feryquitous feat. Aitsuki Nakuru,Kairikou,205,4,3,740862
THE ORAL CIGARETTES,BLACK MEMORY,182,4,3,889313
Tenjin Kotone,Darling Dance,153,4,3,1270156
REDALiCE,Bad Apple!!,170,2,3,10353
Linkin Park,One Step Closer,190.14,4,2,909620
Ayane,Endless Tears...,192,2,3,315572
Nekomata Master,Nekozamurai no Gyakushu,152,2,5,518743
mafumafu,I wanna be a girl,140,5,3,1067733
UNISON SQUARE GARDEN,"Catch up, latency (TV Size)",187,3,3,937773
yanaginagi,Owari no Sekai kara,134,5,3,270999
Dirtyphonics & Sullivan King,Sight of Your Soul,150,10,2,730205
Feint,Take It In (feat. Koven),175,10,2,616023
FELT,Little Nova,143,2,3,344776
HO-KAGO TEA TIME,U&I,210,3,3,976322
Trial & Error,Tokoyami no keiyaku KEGARETA-SHOUJO feat. GUMI,190,4,3,786498
DOES,Guren,184,3,3,424295
Reol,Plus Danshi ver Reol,180,5,3,295225
Tsunamaru,Daidai Genome,135,5,3,221954
Mitchie M,Assassin Princess,155,5,3,1506176
Mitani Nana,Shiroi Yuki no Princess ha ...,200,4,3,38846
Harada Hitomi,Kyoumei No True Force,187.5,3,3,192725
Kishidan to Kitadani Hiroshi,We Can!,180.5,3,3,588256
Mrs. GREEN APPLE,Ao to Natsu,185,5,3,992659
Misato Aki,Jewelry tears (Short Ver.),155,2,3,40958
ViViD,HIKARI (TV Size),210,3,3,1053509
ChouCho,DreamRiser,165,3,3,68916
nora2r,B.B.K.K.B.K.K. (Extended Mix),170,2,5,368336
BlackY,Max Burning!!,190,2,5,123431
Laura Shigihara,Brainiac Maniac,120,2,5,58131
senya,Zetsubou no Fuchi,174,5,3,605290
Mashumairesh!!,Hiromenes (TV Size),187,3,3,1099440
Roselia,Song I am.,190,4,3,1241753
DJ TOTTO feat.3L,Youkakushi -Ayakashi Kakushi-,169.95,2,3,516454
Owl City,Shooting Star,124,5,2,142600
KANA-BOON,Baton Road,162,3,3,609700
kalon.,Juubaku,190,4,3,529724
Shiena Nishizawa,Brand-new World,205,3,3,362321
Maison book girl,faithlessness,170,5,3,1063163
Panda Eyes,ILY,110,10,5,1066709
senya,Yakusoku no Chikara,150,2,3,349810
*namirin,Kanzen Shouri*Esper Girl,195,5,3,954272
IDOLiSH7 feat. TRIGGER,NATSU * Shiyouze!,150,5,3,1554928
"Pecorine (CV: M.A.O), Kokkoro (CV: Itou Miku), Karyl (CV: Tachibana Rika)",Connecting Happy!!,182,2,3,925078
nano,"No pain, No game",190,3,3,60214
Ranko,Sei Natsu,200,2,3,58785
yuikonnu,Chikyuu Saigo no Kokuhaku o,190,4,3,208765
Dormir,Une mage blanche,193,2,7,253231
Kano,Houkago Stride,225,4,3,289985
Hatsune Miku,Triple Baka,90,5,3,4674
yuikonnu & ayaponzu*,Happy Halloween,120,5,3,692433
Sekihan x Piko,Cendrillon,147,4,3,20813
BURNOUT SYNDROMES,Good Morning World! (TV Size),191,3,3,998427
Hatsune Miku,haL1,171,4,3,12046
Nanahira,Frightfully-insane Flan-chan's frightful song,145,2,3,35375
TUYU,Doro no Bunzai de Watashi dake no Taisetsu o Ubaouda nante,225,5,3,1246152
Aiurabu,Kani*Do-Luck! (TV Size),210,3,3,894883
Yorushika,Deep Indigo,210,4,3,1069182
OSTER project,piano x forte,140,14,5,1296249
Ray,Rakuen PROJECT (TV Size),135,3,3,156219
Exivious,One's Glow,240,11,5,1336470
umu.,Dareka no Shinzou ni Nareta Nara,145,4,3,1098181
xi,Fiat Lux,200,2,5,170223
Whispered,Hold the Sword,175,11,2,786432
Paul Bazooka,DrunkenSteiN,128,2,5,915322
Reol,Saisaki,105,5,3,858075
Euchaeta,Kokoro,138,2,5,728885
Franz Liszt,La Campanella (8 Bit Remix),200,6,5,383094
UNDEAD CORPORATION,Yoru Naku Usagi wa Yume o Miru,200,2,3,58951
Enter Shikari,Rat Race,230,4,2,958005
Thaehan,Sunrise,202,10,2,818360
Napoleon,Dystopia,200,4,2,988626
DJ Roland Kenzo,Your Night,146.6,10,2,11301
Starving Trancer,New Gravity,154,2,5,188877
Green Day,Basket Case,176,4,2,1142364
-45,Yomitsu Hirasaka CORRUPTION,135,2,5,845441
Diao Ye Zong feat. Meramipop,Moumoku no Egao,131,12,3,1212631
Yousei Teikoku,Kokou no Sousei,240,6,3,28705
u's,Snow halation (TV Size),173,3,3,183161
The Quick Brown Fox,The Big Black,360.3,10,2,41823
