art,t,bpm,g,ln,s
CHiCO with HoneyWorks,Otome-domo yo. (TV Size),172,3,3,1004293
Renard,PIZZZZZZZZ,200,10,5,638112
Kucchy vs Akky,Yakumo ~ JOINT STRUGGLE,187,2,5,12909
Hoshimachi Suisei,comet,162,10,3,1225153
Seishun Buta Yarou Cast,Fukashigi no Karte,96,3,3,868749
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,557733
Junichi Masuda,Sentou! Mew,179,2,5,549036
DJ Fresh (feat. Rita Ora),Hot Right Now (Radio Edit),175,10,2,231114
Thaehan,Insert Coin,178,10,5,1357790
JerryTerry,U.N. Owen Was Yee?,155,7,14,263191
Douglas Robb (Hoobastank),Fist Bump,217,2,2,779577
FREDERIC,Kanashii Ureshii,142,3,3,635275
Lapfox Trax feat. guilhox,Lapfoxed Forever,220,10,2,59521
Aoi Eir,MEMORIA (TV Size),128,3,3,37749
BTS,Blood Sweat & Tears,93,5,6,526328
suzumu feat.soraru,Zetsubousei: Hero Chiryouyaku The Animation,205,3,3,367646
Primastella,Koigokoro,140,2,3,127712
Gom (HoneyWorks),Zen Zen Zense,190,3,3,503141
Umeboshi Chazuke,ICHIBANBOSHI*ROCKET,234,10,5,1258751
SUPER BEAVER,Rashisa,168,3,3,190486
ASCA,RESISTER (TV Size),183,3,3,909911
Sonata Arctica,Black Sheep,199.72,4,2,63
Blend A,Bon Appetit S (TV Size ver),152,3,3,678593
Vicetone & Tony Igy,Astronomia 2014,126,10,5,360107
Hanasaka Yui (CV: M.A.O) feat. Koalazy,Harumachi Clover (TV Size),142,3,3,780651
Ono Masatoshi,departure! (TV Size),160,4,3,1474379
55x55,MRAZ' (feat. Larin),120,10,12,635171
Nakanoke no Itsutsugo,Gotoubun no Kimochi (TV Size),175,3,3,921468
LiSA,Gurenge (TV Size),135,3,3,978168
Komiya Mao,(can you) understand me?,185,2,3,828703
MY FIRST STORY,Fukagyaku Replace,199,3,3,342218
eyemedia,Bloody Purity,155,2,5,147584
Hanasaka Yui (CV: M.A.O),Aozora Morning Glory (TV Size),138,5,3,1376932
ensou ft. GUMI,COMA,180,2,14,589530
3R2,Get On With It,153,2,5,1078679
Nightcore,Jump Jump,166.75,10,2,12191
Rungran,d.m.c (Band Ver.),180,2,5,52203
Ito Kashitaro,Kiritorisen,165,2,3,831857
LiSA,EGOiSTiC SHOOTER,202,4,3,316580
Aoshima Moka (CV: Mimori Suzuko),kibo refrain,172,3,3,715596
S3RL feat Mixie Moon,FriendZoned,175,10,2,409164
Turbo,PADORU / PADORU,190,10,3,1323896
Nekomata Master,Welcome to tricoro system,160,2,5,1136293
Kankaku Piero,Haruka Mirai (TV Size),182,4,3,1252821
Yu-Peng Chen @HOYO-MiX,"Let's Go, Crimson Knight!",135,2,5,1435970
Tristam,Till it's Over,110,10,2,139415
Nomizu Iori,*** Passionate (TV Size),141,3,3,45811
Suzuyu,Mezameta Asa ni wa Kimi ga Tonari ni (TV Size),140,3,3,143812
Suara,Fuantei na Kamisama TV ver.,156,3,3,394829
Brian the Sun,Lonely Go! (TV Size),204,3,3,1004417
Yasuda Rei,Passcode 4854 -TV edit-,140,3,3,740068
O-Life Japan,Yakujinsama no Couple Dance,172,2,5,16990
Camellia,Towards The Horizon,154.4,10,5,629384
ZUN,U.N. Owen Was Her?,155,2,5,13887
Tamura Yukari,Fantastic future (TV Size),172,3,3,89366
Mikakuning!,Tomadoi Recipe (TV Size),170,3,3,1255281
Mili,Utopiosphere -Platonism-,176,2,2,522132
*namirin,Koi no Hime Hime Pettanko,178,3,3,755852
ParagonX9,Chaoz Japan,165,10,5,460789
MT Nightcore,Welcome To The Club,181.25,10,2,15489
CustomiZ,COOLEST,188,3,3,815097
Hello Sleepwalkers,Goya no Machiawase (TV Size),189,3,3,141329
Kalafina,heavenly blue ~TVsize~,157,3,3,194861
NICO Touches the Walls,Diver,149,3,3,519090
nano,Bull's Eye (TV Size),197,3,3,1604062
a*ru,Kizuato,173,2,3,668807
Various Artists,Nightcore Mix Compilation,172.76,10,2,89289
HTT,"NO, Thank You! (TV Size)",181,3,3,18156
DEAN FUJIOKA,History Maker,67,3,2,522277
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,3,3,558217
Aitsuki Nakuru,Monochrome Butterfly,175,4,3,770300
Kajiura Yuki,Sis puella magica!,148,3,14,318013
Team.Nekokan[Neko] featuring. Katakiri Rekka,Salvage (TV Size),177.75,3,3,78506
Noisestorm,Crab Rave,125,7,5,891596
Fujijo Seitokai Shikkou-bu,Best FriendS (GoldenWolf Edit),163,3,3,746506
Parry Gripp,Guinea Pig Bridge,180,5,2,1067188
Takahashi Yoko,Zankoku na Tenshi no These (TV Size),128.63,3,3,872723
R3 Music Box,"Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo.",80,6,5,968546
TheFatRat,MAYDAY (feat. Laura Brehm),150,10,2,987012
Sayuri,Sore wa Chiisana Hikari no Youna,144,3,3,474376
Shouta Kageyama,Relic Song,152,2,5,107009
Harada Hitomi,Overdrive (Cut Ver.),182,3,3,1348363
MIMI feat. Hatsune Miku,Marshmary,182,5,3,962088
Reol,Plus Danshi ver Reol,180,5,3,295225
Kagemori Michiru (CV: Morohoshi Sumire),Ready to (TV Size),147,3,3,1139127
A Zhong Bu Dai Xi,Gu Niang De Jiu Wo,137.5,7,4,853469
petit milady,Seishun wa Tabemono desu,185,3,3,721039
Hatsune Miku,Uraomote Lovers,159,4,3,11375
inabakumori,Lagtrain,147,4,3,1313664
Suzuki Masayuki,Love Dramatic feat. Ihara Rikka (TV Size),129,3,3,1042420
Disasterpeace,I Am Only a Man,160,2,5,905046
Satoshi (CV:Matsumoto Rica),XY&Z,254,3,3,442618
kors k as teranoid,Bad Maniacs,195,2,5,1423576
Tenacious D,To Be The Best,180,4,2,601419
xi,Happy End of the World,95,10,5,755294
IA,Six Trillion Years and Overnight Story,186,4,3,51245
Hatsune Miku,Baby Baby Sayonara,135,4,3,28482
Coda,Fighting Gold (TV Size),184,3,3,886007
Aimer,SPARK-AGAIN (TV Size),185,3,3,1206887
Nekomata Master feat. Mayumi Morinaga,Sleepless days,188,2,3,959574
Kobaryo,Theme for Psychopath Justice,183,10,5,1328918
"Kirisaki Chitoge (CV: Touyama Nao), Onodera Kosaki (CV: Hanazawa Kana)",Taisetsu no Tsukurikata (Asterisk Remix) (Cut Ver.),175,3,3,1131286
Seth Everman,"how to create the weeknd's ""blinding lights""",171,10,5,1207609
Giga-P,Electric Angel,150,10,3,146794
Eve,Kaikai Kitan (TV Size),185,5,3,1270438
CINDERELLA PROJECT,Star!!,178,3,3,435449
HO-KAGO TEA TIME,Kira Kira Days,200,3,3,444335
Chili Tomato,Angel Gakuen no Ichinichi,94,2,5,172967
Nanahoshi Kangengakudan,Meikaruza,300,14,5,302756
Will Stetson,Harumachi Clover (Swing Arrangement),170,3,3,859783
m108,XIII Charlotte,195,10,5,1400205
Victorious Cast,Take a Hint feat. Victoria Justice & Elizabeth Gillies (Sped Up & Cut Ver.),164.08,5,2,1254985
EGOIST,Namae no Nai Kaibutsu (TV Size),180,3,3,1508139
